Código,Cliente,Fecha,Concepto,Método de pago,Cantidad,Banco,Número de cheque,Observaciones
20260530181556,2112 - Clinica Dental Tijuana,2026-05-30,"",Transferencia Bancaria,507.6,"","",""
20260529133935,6901 - Dental Studio,2026-05-29,Factura 506594,Efectivo,150.0,"","",""
20260529133926,6901 - Dental Studio,2026-05-29,Factura 506595,Efectivo,225.0,"","",""
20260529133813,4505 - Clinica Dental Integral,2026-05-29,Factura 926095,Efectivo,470.0,"","",""
20260529122347,6152 - Maxilo Dental,2026-05-29,Factura 926066,Efectivo,85.0,"","",""
20260529122310,3297 - Horizon Dental Group,2026-05-29,"",Efectivo,255.0,"","",""
20260528143307,8832 - Orion Dental,2026-05-28,Factura 0658,Efectivo,75.0,"","",""
20260528143241,800 - Zenzao Smile Studio,2026-05-28,"",Transferencia Bancaria,280.0,"","",""
20260527161158,7399 - Dental Angel Smile,2026-05-27,Factura 926087,Transferencia Bancaria,90.0,"","",""
20260525192844,2112 - Clinica Dental Tijuana,2026-05-25,"",Transferencia Bancaria,648.0,"","",""
20260525192734,6153 - Clinica Dental Paleo,2026-05-25,Factura 926062,Efectivo,420.0,"","",""
20260521155552,2795 - Clinica Dental Coronel,2026-05-21,Factura 926069,Transferencia Bancaria,100.0,"","",""
20260518164456,6152 - Maxilo Dental,2026-05-18,Factura 926074,Transferencia Bancaria,324.0,"","",""
20260518164445,6152 - Maxilo Dental,2026-05-18,Factura 926076,Transferencia Bancaria,1166.4,"","",""
20260518131249,4505 - Clinica Dental Integral,2026-05-18,Factura 087958211825-5065906,Efectivo,95.0,"","",""
20260518131235,6901 - Dental Studio,2026-05-18,Factura 926072,Efectivo,255.0,"","",""
20260516105640,2112 - Clinica Dental Tijuana,2026-05-16,"",Transferencia Bancaria,567.0,"","",""
20260515132340,7399 - Dental Angel Smile,2026-05-15,Factura 926054,Efectivo,170.0,"","",""
20260515132302,1931 - Hola Dental,2026-05-15,"",Efectivo,170.0,"","",""
20260514103603,2112 - Clinica Dental Tijuana,2026-05-14,"",Transferencia Bancaria,324.0,"","",""
20260514103236,2112 - Clinica Dental Tijuana,2026-05-14,"",Transferencia Bancaria,421.2,"","",""
20260514102916,3297 - Horizon Dental Group,2026-05-14,Factura 926070,Efectivo,85.0,"","",""
20260509151731,6152 - Maxilo Dental,2026-05-09,"",Efectivo,230.0,"","",""
20260509150159,8832 - Orion Dental,2026-05-09,Factura 926047,Transferencia Bancaria,85.0,"","",""
20260509150135,4505 - Clinica Dental Integral,2026-05-09,Factura 926061,Efectivo,75.0,"","",""
20260509150111,6901 - Dental Studio,2026-05-09,Factura 926059,Efectivo,95.0,"","",""
20260505170817,803 - Regenerando Sonrisas,2026-05-05,Factura 926041,Efectivo,75.0,"","",""
20260505170807,803 - Regenerando Sonrisas,2026-05-05,Factura 926040,Efectivo,85.0,"","",""
20260505170746,2795 - Clinica Dental Coronel,2026-05-05,Factura 926042,Transferencia Bancaria,170.0,"","",""
20260505170720,9093 - Dr. Carlos Peralta,2026-05-05,Factura 926046,Efectivo,210.0,"","",""
20260504105218,4505 - Clinica Dental Integral,2026-05-04,"",Efectivo,350.0,"","",""
20260502121427,2112 - Clinica Dental Tijuana,2026-05-02,"",Transferencia Bancaria,243.0,"","",""
20260502121148,1882 - Superdental,2026-05-02,"",Transferencia Bancaria,50.0,"","",""
20260502121058,2795 - Clinica Dental Coronel,2026-05-02,Factura 926038,Transferencia Bancaria,75.0,"","",""
20260502120919,6152 - Maxilo Dental,2026-05-02,Factura 926048,Efectivo,240.0,"","",""
20260425151153,6152 - Maxilo Dental,2026-04-25,"",Efectivo,260.0,"","",""
20260425150952,2795 - Clinica Dental Coronel,2026-04-25,Factura 087958211825-5065904,Transferencia Bancaria,85.0,"","",""
20260424160000,6901 - Dental Studio,2026-04-24,Factura 926031,Efectivo,75.0,"","",""
20260424155651,803 - Regenerando Sonrisas,2026-04-24,"",Efectivo,245.0,"","",""
20260424155625,4505 - Clinica Dental Integral,2026-04-24,"",Efectivo,535.0,"","",""
20260424131241,2112 - Clinica Dental Tijuana,2026-04-24,Factura 087958211825-5065894,Efectivo,10.8,"","",""
20260424130957,2112 - Clinica Dental Tijuana,2026-04-24,"",Transferencia Bancaria,324.0,"","",""
20260423174638,800 - Zenzao Smile Studio,2026-04-23,"",Transferencia Bancaria,370.0,"","",""
20260420200729,7399 - Dental Angel Smile,2026-04-20,Factura 087958211825-5065893,Efectivo,85.0,"","",""
20260420200504,4505 - Clinica Dental Integral,2026-04-20,"",Efectivo,460.0,"","",""
20260420200448,6901 - Dental Studio,2026-04-20,Factura 087958211825-506597,Efectivo,85.0,"","",""
20260415121717,3297 - Horizon Dental Group,2026-04-15,"",Efectivo,100.0,"","",""
20260414163250,1931 - Hola Dental,2026-04-14,"",Efectivo,175.0,"","",""
20260412223501,3297 - Horizon Dental Group,2026-04-12,"",Efectivo,80.0,"","",""
20260412223428,2795 - Clinica Dental Coronel,2026-04-12,Factura 888167,Transferencia Bancaria,90.0,"","",""
20260412223419,2795 - Clinica Dental Coronel,2026-04-12,Factura 888166,Transferencia Bancaria,680.0,"","",""
20260411100818,2112 - Clinica Dental Tijuana,2026-04-11,"",Transferencia Bancaria,405.0,"","",""
20260411100325,6152 - Maxilo Dental,2026-04-11,Factura 087958211825-506599,Efectivo,90.0,"","",""
20260411100315,6152 - Maxilo Dental,2026-04-11,Factura 087958211825-506898,Efectivo,85.0,"","",""
20260409123459,4505 - Clinica Dental Integral,2026-04-09,"",Transferencia Bancaria,421.2,"","",""
20260408185137,800 - Zenzao Smile Studio,2026-04-08,Factura 087958211825-506587,Transferencia Bancaria,160.0,"","",""
20260408185126,800 - Zenzao Smile Studio,2026-04-08,Factura 087958211825-506574,Transferencia Bancaria,160.0,"","",""
20260408185021,2795 - Clinica Dental Coronel,2026-04-08,Factura 087958211825-506470,Transferencia Bancaria,155.0,"","",""
20260404123741,2112 - Clinica Dental Tijuana,2026-04-04,"",Transferencia Bancaria,1112.4,"","",""
20260331134101,6152 - Maxilo Dental,2026-03-31,"",Efectivo,120.0,"","",""
20260331125748,7399 - Dental Angel Smile,2026-03-31,Factura 087958211825-506572,Efectivo,85.0,"","",""
20260328133119,4505 - Clinica Dental Integral,2026-03-28,Factura 087958211825-506568,Transferencia Bancaria,259.2,"","",""
20260327164837,1882 - Superdental,2026-03-27,"",Efectivo,270.0,"","",""
20260327130534,2112 - Clinica Dental Tijuana,2026-03-27,Factura 087958211825-506565,Efectivo,12.18,"","",""
20260327130501,2112 - Clinica Dental Tijuana,2026-03-27,"",Transferencia Bancaria,2435.4,"","",""
