Número factura,Cliente,Código,Fecha,Vencimiento,Nombre,RFC,Calle,Colonia,Localidad,Estado,CP,País,Centro,Importe,Retención,Descuento,Base imponible,Importe IVA,Importe retención,Total,Cobrado,Forma de pago
506594,Dental Studio,6901,28/05/2026,05/06/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
0660,Clinica Dental Integral,4505,28/05/2026,05/06/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,0.0,
0659,Clinica Dental Tijuana,2112,28/05/2026,05/06/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
0658,Orion Dental,8832,28/05/2026,05/06/2026,Orion Dental,-,Calle Emiliano Zapata 7727-int 5,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
R-00049,Zenzao Smile Studio,800,28/05/2026,28/05/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
R-00048,Zenzao Smile Studio,800,28/05/2026,28/05/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
R-00047,Zenzao Smile Studio,800,28/05/2026,28/05/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,50.0,0.0,0.0,50.0,0.0,-0.0,50.0,50.0,
506595,Dental Studio,6901,27/05/2026,05/06/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,225.0,0.0,0.0,225.0,0.0,-0.0,225.0,225.0,
926095,Clinica Dental Integral,4505,25/05/2026,29/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,470.0,0.0,0.0,470.0,0.0,-0.0,470.0,470.0,
926094,Hola Dental,1931,25/05/2026,29/05/2026,Hola Dental,-,Blvd. Cucapah 21808-interior A,Lomas del Matamoros,Tijuana,Baja California,22206,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,0.0,
926092,Clinica Dental Tijuana,2112,25/05/2026,29/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,240.0,0.0,0.0,240.0,19.2,-0.0,259.2,259.2,
926091,Clinica Dental Tijuana,2112,25/05/2026,29/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,6.4,-0.0,86.4,86.4,
926089,Horizon Dental Group,3297,25/05/2026,29/05/2026,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926088,Horizon Dental Group,3297,25/05/2026,29/05/2026,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926087,Dental Angel Smile,7399,25/05/2026,29/05/2026,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,90.0,0.0,0.0,90.0,0.0,-0.0,90.0,90.0,
926062,Clinica Dental Paleo,6153,25/05/2026,"",Clinica Dental Paleo,-,Flores Magon 1225,Zona Centro,Tijuana,Baja California,22000,México,-,420.0,0.0,0.0,420.0,0.0,-0.0,420.0,420.0,
926072,Dental Studio,6901,22/05/2026,"",Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,255.0,0.0,0.0,255.0,0.0,-0.0,255.0,255.0,
926086,Clinica Dental Tijuana,2112,18/05/2026,22/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926085,Clinica Dental Tijuana,2112,18/05/2026,22/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,0.0,
926083,Regenerando Sonrisas,803,18/05/2026,22/05/2026,Regenerando Sonrisas,-,Alamo 19-Local 3,Libertad,Tijuana,Baja California,22400,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,0.0,
926082,Horizon Dental Group,3297,18/05/2026,22/05/2026,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,80.0,
926081,Clinica Dental Tijuana,2112,18/05/2026,22/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
926079,Clinica Dental Tijuana,2112,18/05/2026,22/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926078,Clinica Dental Tijuana,2112,18/05/2026,22/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
926077,Clinica Dental Tijuana,2112,18/05/2026,22/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926076,Maxilo Dental,6152,14/05/2026,22/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,1080.0,0.0,0.0,1080.0,86.4,-0.0,1166.4,1166.4,
926074,Maxilo Dental,6152,14/05/2026,22/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,300.0,0.0,0.0,300.0,24.0,-0.0,324.0,324.0,
926073,Clinica Dental Tijuana,2112,14/05/2026,22/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,375.0,0.0,0.0,375.0,30.0,-0.0,405.0,405.0,
926071,Hola Dental,1931,14/05/2026,22/05/2026,Hola Dental,-,Blvd. Cucapah 21808-interior A,Lomas del Matamoros,Tijuana,Baja California,22206,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926070,Horizon Dental Group,3297,14/05/2026,22/05/2026,Horizon Dental Group,-,C. Carrillo Puerto 1536-interior 203,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926069,Clinica Dental Coronel,2795,14/05/2026,22/05/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,100.0,0.0,0.0,100.0,0.0,-0.0,100.0,100.0,
087958211825-5065906,Clinica Dental Integral,4505,13/05/2026,15/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,95.0,0.0,0.0,95.0,0.0,-0.0,95.0,95.0,
926068,Zenzao Smile Studio,800,09/05/2026,15/05/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
926066,Maxilo Dental,6152,09/05/2026,15/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926065,Maxilo Dental,6152,09/05/2026,15/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
926064,Clinica Dental Tijuana,2112,09/05/2026,15/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926063,Clinica Dental Tijuana,2112,09/05/2026,15/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926061,Clinica Dental Integral,4505,05/05/2026,15/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
926059,Dental Studio,6901,05/05/2026,15/05/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,95.0,0.0,0.0,95.0,0.0,-0.0,95.0,95.0,
926058,Clinica Dental Coronel,2795,05/05/2026,15/05/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,25.0,0.0,0.0,25.0,0.0,-0.0,25.0,0.0,
926057,Maxilo Dental,6152,05/05/2026,15/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,80.0,
926056,Clinica Dental Tijuana,2112,30/04/2026,08/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,390.0,0.0,0.0,390.0,31.2,-0.0,421.2,421.2,
926055,Clinica Dental Integral,4505,30/04/2026,08/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,50.0,0.0,0.0,50.0,0.0,-0.0,50.0,50.0,
926054,Dental Angel Smile,7399,30/04/2026,08/05/2026,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,170.0,0.0,0.0,170.0,0.0,-0.0,170.0,170.0,
926053,Clinica Dental Tijuana,2112,30/04/2026,08/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926052,Clinica Dental Tijuana,2112,30/04/2026,08/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926051,Clinica Dental Tijuana,2112,30/04/2026,08/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926047,Orion Dental,8832,30/04/2026,01/05/2026,Orion Dental,-,Calle Emiliano Zapata 7727-int 5,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926046,Dr. Carlos Peralta,9093,30/04/2026,01/05/2026,Dr. Carlos Peralta,-,Xochitl 2126,Morelos,Tijuana,Baja California,22056,México,-,210.0,0.0,0.0,210.0,0.0,-0.0,210.0,210.0,
926050,Clinica Dental Integral,4505,25/04/2026,01/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
926049,Clinica Dental Integral,4505,25/04/2026,01/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,150.0,0.0,0.0,150.0,0.0,-0.0,150.0,150.0,
926048,Maxilo Dental,6152,25/04/2026,01/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,240.0,0.0,0.0,240.0,0.0,-0.0,240.0,240.0,
926045,Maxilo Dental,6152,22/04/2026,01/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926044,Clinica Dental Tijuana,2112,22/04/2026,01/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,150.0,0.0,0.0,150.0,12.0,-0.0,162.0,162.0,
926043,Maxilo Dental,6152,22/04/2026,01/05/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926042,Clinica Dental Coronel,2795,22/04/2026,01/05/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,170.0,0.0,0.0,170.0,0.0,-0.0,170.0,170.0,
926041,Regenerando Sonrisas,803,22/04/2026,01/05/2026,Regenerando Sonrisas,-,Alamo 19-Local 3,Libertad,Tijuana,Baja California,22400,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
926040,Regenerando Sonrisas,803,22/04/2026,01/05/2026,Regenerando Sonrisas,-,Alamo 19-Local 3,Libertad,Tijuana,Baja California,22400,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926039,Hola Dental,1931,22/04/2026,01/05/2026,Hola Dental,-,Blvd. Cucapah 21808-interior A,Lomas del Matamoros,Tijuana,Baja California,22206,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926038,Clinica Dental Coronel,2795,22/04/2026,01/05/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
926037,Clinica Dental Tijuana,2112,22/04/2026,01/05/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926036,Zenzao Smile Studio,800,20/04/2026,01/05/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,80.0,
926035,Zenzao Smile Studio,800,20/04/2026,01/05/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
926034,Clinica Dental Integral,4505,20/04/2026,01/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
926033,Clinica Dental Integral,4505,20/04/2026,01/05/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
926032,Clinica Dental Tijuana,2112,20/04/2026,24/04/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
926031,Dental Studio,6901,20/04/2026,24/04/2026,Dental Studio,-,Calle Emiliano Zapata 7974-3,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
926030,Clinica Dental Integral,4505,20/04/2026,24/04/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-5065905,Clinica Dental Integral,4505,17/04/2026,24/04/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,300.0,0.0,0.0,300.0,0.0,-0.0,300.0,300.0,
087958211825-5065904,Clinica Dental Coronel,2795,17/04/2026,24/04/2026,Dr. Luis Bojorquez,-,Fray Servando Teresa de Mier 23,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-5065903,Zenzao Smile Studio,800,17/04/2026,24/04/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,80.0,0.0,0.0,80.0,0.0,-0.0,80.0,80.0,
087958211825-5065902,Maxilo Dental,6152,17/04/2026,24/04/2026,Maxilo Dental,-,Fray Servando Teresa de Mier 1351-206,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,90.0,0.0,0.0,90.0,0.0,-0.0,90.0,90.0,
087958211825-5065901,Clinica Dental Integral,4505,15/04/2026,24/04/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-5065900,Zenzao Smile Studio,800,15/04/2026,24/04/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,60.0,0.0,0.0,60.0,0.0,-0.0,60.0,60.0,
087958211825-5065899,Zenzao Smile Studio,800,15/04/2026,24/04/2026,Zenzao Smile Studio,-,Blvd. Alberto Limón Padilla #19058,Nueva Tijuana,Tijuana,Baja California,22444,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-5065898,Clinica Dental Integral,4505,15/04/2026,24/04/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,75.0,0.0,0.0,75.0,0.0,-0.0,75.0,75.0,
087958211825-5065897,Clinica Dental Tijuana,2112,15/04/2026,24/04/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-5065896,Regenerando Sonrisas,803,13/04/2026,17/04/2026,Regenerando Sonrisas,-,Alamo 19-Local 3,Libertad,Tijuana,Baja California,22400,México,-,170.0,0.0,0.0,170.0,0.0,-0.0,170.0,170.0,
087958211825-5065895,Clinica Dental Integral,4505,12/04/2026,17/04/2026,Clinica Dental Integral,-,Blvrd Gral Rodolfo Sánchez Taboada 1600-Int. 16,Zona Urbana Rio Tijuana,Tijuana,Baja California,22010,México,-,160.0,0.0,0.0,160.0,0.0,-0.0,160.0,160.0,
087958211825-5065894,Clinica Dental Tijuana,2112,12/04/2026,17/04/2026,Clinica Dental Tijuana,-,Calle Emiliano Zapata 8042,Zona Centro,Tijuana,Baja California,22000,México,-,75.0,0.0,0.0,75.0,6.0,-0.0,81.0,81.0,
087958211825-5065893,Dental Angel Smile,7399,12/04/2026,18/04/2026,Dental Angel Smile,-,Av Constitución 1284,Zona Centro,Tijuana,Baja California,22000,México,-,85.0,0.0,0.0,85.0,0.0,-0.0,85.0,85.0,
087958211825-5065892,Superdental,1882,12/04/2026,18/04/2026,Superdental,-,Blvd. Agua Caliente 11988-Local 1,Agua Caliente,Tijuana,Baja California,22420,México,-,60.0,0.0,0.0,60.0,0.0,-0.0,60.0,60.0,
